pet_id,species,breed,age_months,weight_kg,formula,batch_id,trial_date,lab_technician,notes,palatability_score,time_to_first_bite,consumed_amount_grams,formula_label,weight_z,bite_speed
DOG-246,Dog,Poodle,120,26.1,B,B2024-012,2024-09-24,Dr. Patel,NA,6.1,26.2,71.9,New Protein,1.1274321271673002,Slow
DOG-058,Dog,Poodle,79,NA,A,B2024-011,2024-10-20,Dr. Smith,NA,6.5,18,66.6,Control,NA,Medium
CAT-092,Cat,Maine Coon,97,6.6,A,B2024-002,2024-01-10,Dr. Smith,NA,4.9,11.7,52.1,Control,-0.6050018197855429,Medium
CAT-160,Cat,British Shorthair,23,5.8,B,B2024-009,2024-07-24,Dr. Smith,NA,5.5,23.6,28.8,New Protein,-0.6760760329938647,Medium
CAT-159,Cat,Bengal,56,4.8,A,B2024-008,2024-12-07,Dr. Chen,NA,6.6,7.6,50.9,Control,-0.7649187995042668,Fast
DOG-215,Dog,Golden Retriever,57,34.8,A,B2024-011,2024-08-03,Dr. Okafor,NA,6.8,7.6,80.5,Control,1.900364195807799,Fast
CAT-191,Cat,British Shorthair,42,5.5,B,B2024-004,2024-04-13,Dr. Okafor,NA,5.9,16.2,53.3,New Protein,-0.7027288629469853,Medium
CAT-154,Cat,British Shorthair,87,3.3,C,B2024-013,2024-09-05,Dr. Okafor,NA,7.3,14.5,75,New Flavour Coating,-0.8981829492698701,Medium
DOG-015,Dog,Golden Retriever,10,33.2,A,B2024-012,2024-02-02,Dr. Smith,NA,5.9,16.8,71,Control,1.758215769391156,Medium
DOG-076,Dog,Poodle,120,13.8,C,B2024-001,2024-03-16,Dr. Patel,NA,8.2,17.2,79.4,New Flavour Coating,0.03466609908935305,Medium
CAT-060,Cat,Bengal,62,4.2,A,B2024-004,2024-05-09,Dr. Patel,NA,7.7,10.1,73.1,Control,-0.8182244594105083,Medium
DOG-089,Dog,Labrador,14,8.2,A,B2024-005,2024-03-15,Dr. Chen,NA,7.5,13.5,85,Control,-0.4628533933688994,Medium
DOG-013,Dog,German Shepherd,12,16.8,A,B2024-007,2024-12-15,Dr. Smith,NA,5,12.8,50.8,Control,0.3011943986205597,Medium
DOG-218,Dog,Golden Retriever,48,NA,B,B2024-004,2024-09-13,Dr. Patel,NA,7.6,5.3,78.7,New Protein,NA,Fast
CAT-125,Cat,Bengal,105,3.8,C,B2024-003,2024-03-02,Dr. Chen,NA,7.8,13.6,58.4,New Flavour Coating,-0.853761566014669,Medium
DOG-038,Dog,Poodle,30,NA,B,B2024-005,2024-01-25,Dr. Okafor,NA,6.9,11,71.7,New Protein,NA,Medium
DOG-248,Dog,Poodle,114,27.2,A,B2024-013,2024-09-17,Dr. Smith,NA,6.2,18.4,73.3,Control,1.2251591703287426,Medium
DOG-250,Dog,Golden Retriever,13,18.2,B,B2024-014,2024-09-07,Dr. Chen,Refused initial sample,7.5,3.3,105.8,New Protein,0.42557427173512263,Fast
DOG-041,Dog,Golden Retriever,78,6.2,A,B2024-003,2024-09-28,Dr. Okafor,NA,8.4,9.5,69,Control,-0.6405389263897038,Fast
DOG-190,Dog,Golden Retriever,8,6.6,C,B2024-002,2024-02-06,Dr. Chen,NA,10,4.8,84.9,New Flavour Coating,-0.6050018197855429,Fast
CAT-014,Cat,Ragdoll,29,6.1,A,B2024-009,2024-07-31,Dr. Patel,NA,5.5,12.4,46.2,Control,-0.6494232030407441,Medium
DOG-066,Dog,Beagle,39,37,C,B2024-010,2024-09-05,Dr. Chen,NA,4.4,27.7,55.7,New Flavour Coating,2.095818282130684,Slow
DOG-173,Dog,Labrador,79,32.4,A,B2024-015,2024-02-27,Dr. Patel,NA,8.4,2.9,87.5,Control,1.6871415561828338,Fast
DOG-204,Dog,Golden Retriever,51,31.2,A,B2024-007,2024-03-25,Dr. Okafor,NA,8.5,10.9,101.2,Control,1.5805302363703513,Medium
DOG-026,Dog,German Shepherd,38,15.5,B,B2024-012,2024-06-16,Dr. Patel,Unusual hesitation before eating,8.8,6.6,89.3,New Protein,0.18569880215703674,Fast
DOG-138,Dog,Golden Retriever,115,NA,B,B2024-013,2024-01-13,Dr. Chen,NA,7.5,3.2,73.9,New Protein,NA,Fast
CAT-200,Cat,Bengal,25,3,B,B2024-006,2024-03-12,Dr. Patel,NA,7.2,7.2,68,New Protein,-0.9248357792229909,Fast
CAT-044,Cat,Maine Coon,106,4.2,A,B2024-013,2024-10-23,Dr. Chen,NA,4.3,17.1,52.1,Control,-0.8182244594105083,Medium
CAT-206,Cat,Maine Coon,103,4.7,C,B2024-012,2024-04-22,Dr. Smith,NA,9.2,5.3,62.3,New Flavour Coating,-0.7738030761553072,Fast
DOG-160,Dog,German Shepherd,118,NA,B,B2024-010,2024-10-31,Dr. Smith,NA,7.8,15.5,92.9,New Protein,NA,Medium
CAT-037,Cat,Bengal,76,5.8,C,B2024-002,2024-01-16,Dr. Okafor,NA,7.8,8.8,61.7,New Flavour Coating,-0.6760760329938647,Fast
