pet_id,species,breed,age_months,weight_kg,formula,batch_id,trial_date,lab_technician,notes,palatability_score,time_to_first_bite,consumed_amount_grams,row_number
DOG-246,Dog,Poodle,120,26.1,B,B2024-012,2024-09-24,Dr. Patel,,6.1,26.2,71.9,1
DOG-058,Dog,Poodle,79,NA,A,B2024-011,2024-10-20,Dr. Smith,,6.5,18,66.6,2
CAT-092,Cat,Maine Coon,97,6.6,A,B2024-002,2024-01-10,Dr. Smith,,4.9,11.7,NA,3
CAT-160,Cat,British Shorthair,23,5.8,B,B2024-009,2024-07-24,Dr. Smith,NA,5.5,23.6,28.8,4
CAT-159,Cat,Bengal,56,4.8,A,B2024-008,2024-12-07,Dr. Chen,NA,6.6,7.6,50.9,5
DOG-215,Dog,Golden Retriever,57,34.8,A,B2024-011,2024-08-03,Dr. Okafor,NA,6.8,7.6,80.5,6
CAT-191,Cat,British Shorthair,42,5.5,B,B2024-004,2024-04-13,Dr. Okafor,,5.9,16.2,53.3,7
CAT-154,Cat,British Shorthair,87,3.3,C,B2024-013,2024-09-05,Dr. Okafor,NA,7.3,14.5,75,8
DOG-015,Dog,Golden Retriever,10,33.2,A,B2024-012,2024-02-02,Dr. Smith,,5.9,16.8,71,9
DOG-076,Dog,Poodle,120,13.8,C,B2024-001,2024-03-16,Dr. Patel,NA,8.2,17.2,79.4,10
CAT-060,Cat,Bengal,62,4.2,A,B2024-004,2024-05-09,Dr. Patel,,7.7,10.1,73.1,11
DOG-089,Dog,Labrador,14,8.2,A,B2024-005,2024-03-15,Dr. Chen,,7.5,13.5,85,12
DOG-013,Dog,German Shepherd,12,16.8,A,B2024-007,2024-12-15,Dr. Smith,,5,12.8,50.8,13
DOG-218,Dog,Golden Retriever,48,NA,B,B2024-004,2024-09-13,Dr. Patel,,7.6,5.3,NA,14
DOG-999,Dog,Labrador,48,25,B,B2024-010,2024-06-15,Dr. Smith,SUSPICIOUS DATA — likely equipment malfunction,15,5,500,15
CAT-125,Cat,Bengal,105,3.8,C,B2024-003,2024-03-02,Dr. Chen,,NA,13.6,58.4,16
DOG-038,Dog,Poodle,30,NA,B,B2024-005,2024-01-25,Dr. Okafor,,6.9,11,71.7,17
DOG-248,Dog,Poodle,114,27.2,A,B2024-013,2024-09-17,Dr. Smith,,6.2,18.4,73.3,18
DOG-250,Dog,Golden Retriever,13,18.2,B,B2024-014,2024-09-07,Dr. Chen,Refused initial sample,7.5,3.3,105.8,19
DOG-041,Dog,Golden Retriever,78,6.2,A,B2024-003,2024-09-28,Dr. Okafor,,8.4,9.5,69,20
DOG-190,Dog,Golden Retriever,8,6.6,C  ,B2024-002,2024-02-06,Dr. Chen,,10,4.8,84.9,21
CAT-014,Cat,Ragdoll,29,6.1,A,B2024-009,2024-07-31,Dr. Patel,,5.5,12.4,46.2,22
DOG-066,Dog,Beagle,39,37,C,B2024-010,2024-09-05,Dr. Chen,,4.4,27.7,55.7,23
DOG-173,Dog,Labrador,79,32.4,A,B2024-015,2024-02-27,Dr. Patel,,8.4,2.9,87.5,24
DOG-204,Dog,Golden Retriever,51,31.2,A,B2024-007,2024-03-25,Dr. Okafor,NA,8.5,10.9,101.2,25
DOG-026,Dog,German Shepherd,38,15.5,B,B2024-012,2024-06-16,Dr. Patel,Unusual hesitation before eating,8.8,6.6,89.3,26
DOG-138,Dog,Golden Retriever,115,NA,B,B2024-013,2024-01-13,Dr. Chen,,NA,3.2,73.9,27
CAT-200,Cat,Bengal,25,3,B,B2024-006,2024-03-12,Dr. Patel,,NA,7.2,68,28
CAT-044,Cat,Maine Coon,106,4.2,A,B2024-013,2024-10-23,Dr. Chen,,4.3,17.1,NA,29
CAT-206,Cat,Maine Coon,103,4.7,C,B2024-012,2024-04-22,Dr. Smith,,9.2,5.3,62.3,30
DOG-160,Dog,German Shepherd,118,NA,B,B2024-010,2024-10-31,Dr. Smith,,7.8,15.5,92.9,31
CAT-037,Cat,Bengal,76,5.8,C,B2024-002,2024-01-16,Dr. Okafor,,NA,8.8,61.7,32
CAT-070,Cat,Ragdoll,91,5,C,B2024-012,2024-02-25,Dr. Patel,,7,6.9,55,33
DOG-111,Dog,Beagle,43,26.9,B,B2024-004,2024-09-03,Dr. Patel,,NA,15.4,87.3,34
DOG-062,Dog,German Shepherd,56,17.1,C,B2024-001,2024-05-19,Dr. Smith,,9.2,2,108.9,35
CAT-144,Cat,Maine Coon,93,4.2,C,B2024-005,2024-12-21,Dr. Smith,,3.8,24.3,11.1,36
DOG-207,Dog,Beagle,35,24.5,C,B2024-011,11-02-20,Dr. Chen,,7.1,8.3,85.9,37
DOG-184,Dog,Poodle,30,17.1,C,B2024-009,2024-01-02,Dr. Smith,NA,NA,18.5,96,38
DOG-065,Dog,Beagle,53,3.4,A,B2024-007,2024-03-03,Dr. Smith,NA,6.4,15.4,70.7,39
CAT-122,Cat,Bengal,34,NA,C,B2024-015,2024-10-15,Dr. Smith,,7.9,13.3,68.4,40
CAT-155,Cat,Bengal,74,3.1,C,B2024-009,2024-02-18,Dr. Patel,NA,6,16.7,51.9,41
DOG-114,Dog,Poodle,47,4.8,C,B2024-001,2024-09-29,Dr. Okafor,,7.3,14.8,66.9,42
DOG-047,Dog,Golden Retriever,66,8.5,B,B2024-015,2024-11-09,Dr. Smith,,5.9,10.4,63.2,43
CAT-229,Cat,Siamese,62,6.4,A,B2024-004,2024-10-19,Dr. Chen,,5.8,14,35.2,44
DOG-174,Dog,Labrador,114,37.2,A,B2024-003,2024-11-06,Dr. Chen,,6.4,11.1,56.7,45
CAT-064,Cat,Ragdoll,48,6.4,B,B2024-001,2024-08-15,Dr. Okafor,,6.8,17.9,60.4,46
DOG-118,Dog,Golden Retriever,92,11.1,B,B2024-009,2024-05-27,Dr. Chen,Spillage during trial (approx. 10g),6.9,11.6,76.7,47
DOG-042,Dog,Beagle,24,17.5,B,B2024-012,3-10-20,Dr. Okafor,,5.7,6.4,68.3,48
DOG-011,Dog,Labrador,49,26.1,A,B2024-015,2024-04-30,Dr. Chen,,4.5,23.1,44,49
CAT-078,Cat,Bengal,103,3.1,A,B2024-002,2024-01-16,Dr. Patel,,6.2,10.9,65.1,50
CAT-030,Cat,Maine Coon,57,NA,C,B2024-011,2024-06-22,Dr. Chen,,8.2,10.2,67.1,51
CAT-129,Cat,Siamese,50,6.3,C,B2024-010,2024-08-02,Dr. Patel,,8.2,15.7,72.9,52
DOG-244,Dog,Labrador,50,NA,B,B2024-006,2024-10-07,Dr. Patel,,6.3,13,82.5,53
DOG-264,Dog,German Shepherd,38,NA,A,B2024-009,2024-04-18,Dr. Patel,N/A,6,15.9,62.4,54
DOG-156,Dog,Golden Retriever,115,5.3,A,B2024-002,2024-11-05,Dr. Chen,,9,14.9,76.4,55
CAT-068,Cat,British Shorthair,80,4,C,B2024-014,2024-10-06,Dr. Smith,,5.6,14,55,56
DOG-189,Dog,Beagle,120,28.6,A,B2024-010,2024-08-02,Dr. Okafor,,6.8,14.1,92.9,57
DOG-081,Dog,Golden Retriever,94,17.3,A,B2024-011,2024-09-13,Dr. Okafor,,7,10.3,55.4,58
CAT-132,Cat,Siamese,37,6.4,B,B2024-013,2024-03-24,Dr. Smith,,7.9,8.5,64.4,59
DOG-212,Dog,Labrador,120,39.3,B,B2024-003,2024-09-11,Dr. Patel,,7.6,10.6,71.8,60
CAT-021,Cat,British Shorthair,66,6.8,B,B2024-001,2024-08-16,Dr. Smith,,6.6,7.8,66.8,61
DOG-044,Dog,Poodle,51,7.9,B,B2024-007,2024-01-27,Dr. Patel,Spillage during trial (approx. 10g),7.5,15,63,62
CAT-213,Cat,Maine Coon,67,3.5,A,B2024-005,2024-02-06,Dr. Okafor,,7.1,16.1,56.5,63
DOG-009,Dog,Labrador,107,27.9,C,B2024-010,2024-08-05,Dr. Smith,,8.7,11.4,82.2,64
DOG-149,Dog,Labrador,112,37.6,A,B2024-006,2024-12-05,Dr. Okafor,,4.1,22.6,46.5,65
DOG-024,Dog,German Shepherd,33,6.1,B,B2024-013,2024-01-08,Dr. Okafor,,5.8,2.7,68.1,66
CAT-163,Cat,Siamese,118,5.8,B,B2024-001,2024-03-15,Dr. Okafor,,5.7,15.5,63.3,67
CAT-086,Cat,British Shorthair,34,6,B,B2024-012,2024-08-31,Dr. Okafor,NA,5.5,16.1,55.7,68
DOG-096,Dog,Golden Retriever,69,22.2,B,B2024-015,2024-08-29,Dr. Chen,,NA,10.5,91.8,69
DOG-208,Dog,Poodle,112,NA,B,B2024-003,2024-09-13,Dr. Patel,,7.8,7.5,76.2,70
DOG-226,Dog,Golden Retriever,47,3.6,A,B2024-010,2024-11-05,Dr. Okafor,,6.3,16.7,76.5,71
DOG-130,Dog,Labrador,15,32.1,B,B2024-012,2024-03-30,Dr. Okafor,,7.9,8.9,86.8,72
DOG-148,Dog,Golden Retriever,115,19.1,B,B2024-014,2024-08-12,Dr. Smith,,5.2,19,53,73
DOG-247,Dog,German Shepherd,85,32.7,B,B2024-007,2024-06-19,Dr. Chen,Spillage during trial (approx. 10g),10,2,101.8,74
DOG-249,Dog,Labrador,50,28.1,A,B2024-009,2024-07-23,Dr. Okafor,,8,5.6,77.6,75
CAT-197,Cat,Maine Coon,114,6.1,A,B2024-014,2024-03-18,Dr. Chen,,5.8,20.5,58.9,76
CAT-020,Cat,Ragdoll,77,6.7,B,B2024-013,2024-01-25,Dr. Chen,,6.9,13.6,51.1,77
DOG-150,Dog,Poodle,92,39.2,B,B2024-004,2024-05-10,Dr. Patel,,NA,11.7,89.9,78
DOG-252,Dog,German Shepherd,107,4,C,B2024-002,2024-06-29,Dr. Chen,,7.6,19.4,77.7,79
CAT-031,Cat,Ragdoll,23,6.8,B,B2024-009,2024-02-15,Dr. Patel,Spillage during trial (approx. 10g),8.5,9.6,77.5,80
DOG-030,Dog,Golden Retriever,112,38.1,B,B2024-012,2024-08-21,Dr. Chen,,8.3,12.9,82.5,81
DOG-050,Dog,Poodle,103,39.7,A,B2024-011,2024-08-16,Dr. Smith,,8.9,2,74.3,82
DOG-117,Dog,Golden Retriever,39,3.4,A,B2024-008,2024-05-19,Dr. Okafor,,5.3,13.9,71.5,83
CAT-083,Cat,Ragdoll,115,3.3,A,B2024-001,2024-03-28,Dr. Okafor,,6.8,14.9,66.3,84
CAT-179,Cat,Siamese,43,NA,C,B2024-008,2024-12-03,Dr. Patel,,NA,14,47,85
DOG-168,Dog,German Shepherd,107,NA,B,B2024-013,2024-07-25,Dr. Chen,,NA,2,95.2,86
DOG-032,Dog,Golden Retriever,59,22.8,A,B2024-011,2024-06-26,Dr. Chen,,5.3,20.2,NA,87
DOG-143,Dog,Labrador,92,19.2,B,B2024-011,2024-10-14,Dr. Smith,,7.9,11.9,85.2,88
DOG-119,Dog,German Shepherd,105,5.1,A,B2024-007,2024-10-10,Dr. Patel,,7,18.8,64.9,89
DOG-240,Dog,German Shepherd,107,15.9,B,B2024-008,2024-04-06, Dr. Okafor,,7.3,10.5,104.6,90
CAT-161,Cat,Bengal,111,6.8,A,B2024-006,2024-09-03,Dr. Patel,Pet showed strong preference immediately,8.2,9.2,86.4,91
CAT-147,Cat,Ragdoll,65,5.4,A,B2024-011,2024-01-17,Dr. Smith,,6.8,13.1,71.6,92
CAT-076,Cat,Siamese,23,5.9,A,B2024-008,2024-10-30,Dr. Patel,,NA,7.2,83.6,93
CAT-089,Cat,British Shorthair,17,6,C,B2024-014,2024-06-27,Dr. Okafor,,6.8,16,76.2,94
CAT-095,Cat,British Shorthair,38,6.9,C,B2024-013,2024-11-24,Dr. Smith,,5.5,14.3,51.4,95
CAT-107,Cat,British Shorthair,28,3,A,B2024-002,2024-07-04,Dr. Patel,,4.8,17.6,29.8,96
CAT-111,Cat,Maine Coon,38,6.6,B,B2024-013,2024-01-07,Dr. Okafor,,NA,8,69.5,97
CAT-013,Cat,British Shorthair,120,NA,A,B2024-003,2024-09-29,Dr. Okafor,,6.3,15.6,46.3,98
CAT-217,Cat,Ragdoll,37,3.9,B,B2024-002,2024-12-15,Dr. Okafor,,7.2,15.4,81.2,99
DOG-048,Dog,German Shepherd,25,38.6,A,B2024-008,2024-07-19,Dr. Okafor,,NA,13.6,92,100
CAT-219,Cat,Siamese,111,3.8,C,B2024-007,2024-12-01,Dr. Patel,NA,7.4,8.9,64.7,101
DOG-157,Dog,Labrador,94,9.7,C,B2024-014,2024-10-28,Dr. Chen,,6.7,2.4,76.2,102
DOG-068,Dog,Poodle,73,30.9,C,B2024-009,2024-02-05,Dr. Chen,,8.3,7.6,79.5,103
DOG-075, Dog ,Golden Retriever,91,7.7,A,B2024-003,2024-10-29,Dr. Okafor,Refused initial sample,7.8,11.7,90.1,104
DOG-209,Dog,Golden Retriever,50,7.9,B,B2024-010,2024-02-12,Dr. Okafor,,NA,3.4,76.3,105
DOG-145,Dog,Poodle,95,4.4,C,B2024-006,2024-02-01,Dr. Smith,,7.9,7.3,56.4,106
DOG-144,Dog,Labrador,117,27.8,C,B2024-015,2024-01-01,Dr. Okafor,,7.4,13.4,73.9,107
DOG-147,Dog,German Shepherd,79,37.5,C,B2024-014,2024-11-29,Dr. Patel,,8.9,4.6,86,108
CAT-142,Cat,Siamese,44,6.3,C,B2024-013,2024-04-02,Dr. Okafor,,7,10.2,74.9,109
CAT-126,Cat,Bengal,17,5.5,B,B2024-005,2024-10-11,Dr. Smith,,7.6,6.5,79.2,110
DOG-012,Dog,Poodle,69,8.1,C,B2024-002,2024-11-10,Dr. Patel,,8.3,2,78.2,111
CAT-053,Cat,Siamese,117,4.1,C,B2024-012,2024-06-02,Dr. Smith,,8.5,2,67,112
DOG-106,Dog,Labrador,112,37.4,C,B2024-010,2024-01-08,Dr. Chen,,10,2,99,113
DOG-120,Dog,German Shepherd,62,11.7,C,B2024-013,2024-12-20,Dr. Okafor,,7.5,11.6,74.5,114
DOG-003,Dog,Labrador,97,30.3,B,B2024-004,2024-06-12,Dr. Okafor,,8.5,7.8,83,115
CAT-215,Cat,Maine Coon,63,6,B,B2024-005,2024-08-01,Dr. Patel,,NA,16.4,64.2,116
DOG-236,Dog,Beagle,109,3.3,B,B2024-006,2024-09-23,Dr. Patel,,7.2,9.8,73.4,117
CAT-082,Cat,Bengal,46,3,A,B2024-001,2024-12-24,Dr. Chen,,7.2,13.2,59.1,118
DOG-151,Dog,Beagle,59,28,C,B2024-012,2024-09-15,Dr. Chen,,9.2,5.4,101.1,119
CAT-025,Cat,British Shorthair,24,4.9,A,B2024-012,2024-12-28,Dr. Okafor,,6.4,16.2,48.1,120
DOG-234,Dog,Beagle,38,NA,C,B2024-012,2024-07-25,Dr. Patel,,9.3,15.1,94.9,121
CAT-081,Cat,Maine Coon,32,5.3,C,B2024-001,2024-06-23,Dr. Patel,,8.6,7.4,67.9,122
CAT-006,Cat,Maine Coon,81,NA,C,B2024-007,2024-12-27,Dr. Smith,,7.7,10.6,74.9,123
CAT-201,Cat,Maine Coon,50,3.1,A,B2024-014,2024-01-05,Dr. Chen,,NA,12.4,54.3,124
CAT-134,Cat,Ragdoll,55,3.1,C,B2024-004,2024-05-22,Dr. Okafor,,9.2,5.1,NA,125
CAT-101,Cat,Siamese,48,6,A,B2024-001,2024-09-28,Dr. Smith,,4.9,14.6,43.8,126
DOG-224,Dog,Poodle,63,31.6,C,B2024-013,2024-09-24,Dr. Okafor,,8.3,9,78.4,127
DOG-202,Dog,Golden Retriever,50,38,C,B2024-004,2024-09-13,Dr. Chen,,7.7,15.9,95.2,128
CAT-012,Cat,Maine Coon,33,4.8,C,B2024-002,2024-03-06,Dr. Chen,,6.7,17.5,45.7,129
DOG-228,Dog,Labrador,113,11.9,A,B2024-010,2024-11-28,Dr. Chen,,7.2,10.7,71.3,130
CAT-164,Cat,British Shorthair,83,6.3,B,B2024-010,2024-07-10,Dr. Chen,,5.3,13.4,47.2,131
CAT-018,Cat,Siamese,40,3.9,A,B2024-015,2024-06-24,Dr. Smith,,5.7,23.2,38.1,132
CAT-047,Cat,Siamese,83,5.6,B,B2024-007,2024-03-21,Dr. Smith,,6.9,7.5,63.3,133
CAT-017,Cat,British Shorthair,76,4,B,B2024-004,2024-03-17,Dr. Okafor,,6.8,13.4,67.6,134
CAT-105,Cat,Siamese,70,6.6,B,B2024-009,2024-06-15,Dr. Okafor,,5.6,13.4,57.5,135
